date,shapeID,shapeName,mapping_method,gefs_mean_mm,gefs_max_mm,observed_mean_mm,observed_max_mm,heavy_probability_mean,heavy_probability_max,very_heavy_probability_max,grid_cells,risk_level,very_heavy_experimental,correction_raw_mean_mm,global_corrected_mean_mm,global_corrected_max_mm,regime_corrected_mean_mm,regime_corrected_max_mm,regime_adjustment_mm,global_adjustment_mm
2018-07-27,76128533B14534161138054,Bijnor,contained_grid,19.137999,21.21,65.78874,99.0225,0.0111460015,0.014115671,0.0002475306,5,Low Modelled Signal,False,19.137999,13.743591,15.815592,13.728071,15.800071,-5.4099274,-5.3944073
2018-07-27,76128533B14598081584747,Balrampur,contained_grid,15.808462,19.26,12.834615,31.553747,0.012996804,0.017517775,0.00064073794,13,Low Modelled Signal,False,15.808462,10.414054,13.865593,10.398534,13.850072,-5.4099283,-5.394408
2018-07-27,76128533B14849085202492,Jaisalmer,contained_grid,0.0,0.0,0.0034772723,0.18499999,0.00019989847,0.00047552105,3.5617413e-05,55,Low Modelled Signal,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-07-27,76128533B14968875277413,Narayanpet,contained_grid,0.8833334,1.49,0.21416666,0.325,0.00017424289,0.00018262392,2.4766749e-05,3,Low Modelled Signal,False,0.8833334,0.0,0.0,0.0,0.0,-0.8833334,-0.8833334
2018-07-27,76128533B14984770113274,Shahid Bhagat Singh Nagar,contained_grid,8.895,16.730001,4.0575,6.3399997,0.0036873345,0.0052377884,7.214278e-05,2,Low Modelled Signal,False,8.895,5.667797,11.335594,5.6600366,11.320073,-3.234964,-3.2272034
2018-07-27,76128533B15157901669242,Majuli,contained_grid,9.15,9.15,21.675,21.675,0.005543513,0.005543513,0.0014312423,1,Low Modelled Signal,False,9.15,3.7555919,3.7555919,3.7400713,3.7400713,-5.4099283,-5.3944077
2018-07-27,76128533B15180319517641,Daman,nearest_grid,4.1,4.1,0.11,0.11,0.002590971,0.002590971,0.0001286869,1,Low Modelled Signal,False,4.1,0.0,0.0,0.0,0.0,-4.1,-4.1
2018-07-27,76128533B15337568968545,Erode,contained_grid,0.56875,1.64,0.30359375,1.155,0.0001054779,0.00012190463,2.925397e-05,8,Low Modelled Signal,False,0.56875,0.0,0.0,0.0,0.0,-0.56875,-0.56875
2018-07-27,76128533B15342706434354,Etah,contained_grid,9.811999,13.15,13.906749,27.447498,0.007700554,0.009027408,0.00045766856,5,Low Modelled Signal,False,9.811999,4.4224734,7.755592,4.410057,7.7400713,-5.4019423,-5.389526
2018-07-27,76128533B15550697205080,Chikmagalur,contained_grid,4.7633333,13.26,0.66249996,1.7887499,0.003925256,0.012103763,0.0006213824,9,Low Modelled Signal,False,4.7633333,1.7151974,7.8655925,1.7100239,7.850072,-3.0533094,-3.0481358
