shapeID,shapeName,date,mapping_method,gefs_mean_mm,gefs_max_mm,observed_mean_mm,observed_max_mm,heavy_probability_mean,heavy_probability_max,very_heavy_probability_max,grid_cells,risk_level,very_heavy_experimental,correction_raw_mean_mm,global_corrected_mean_mm,global_corrected_max_mm,regime_corrected_mean_mm,regime_corrected_max_mm,regime_adjustment_mm,global_adjustment_mm,trust_grid_cells,observation_confidence_mean,observation_confidence_min,low_confidence_risk_mean,low_confidence_risk_max,low_confidence_cell_fraction,confidence_available_fraction,selective_trust_raw_mean_mm,selective_trust_raw_max_mm,selective_adjustment_mean_mm,observation_reliability_signal,geographic_grid_cells,elevation_mean_m,elevation_max_m,terrain_relief_mean_m,terrain_relief_max_m,slope_mean_degrees,slope_max_degrees,distance_to_coast_min_km,distance_to_coast_mean_km,coastal_fraction_25km,coastal_fraction_50km,coastal_fraction_75km,coastal_fraction_100km,coastal_fraction_150km,orographic_cell_fraction,coastal_orographic_fraction,dominant_geographic_regime_code,coastal_district_75km,orographic_district,dominant_geographic_regime
76128533B8426545955058,Amritsar,2018-07-27,contained_grid,48.579998,49.0,16.41,21.464998,0.0097032655,0.0097032655,0.00014730118,2,Low Modelled Signal,False,48.579998,43.185589,43.605591,43.170071,43.590073,-5.4099274,-5.3944092,2,0.5073235,0.4784094,0.39244407,0.73405665,1.0,1.0,45.293163,47.561264,2.1230927,Elevated observation disagreement,2,230.37222,246.0,9.627785,10.636673,0.02550154,0.0256269,1034.3088,1039.3717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,False,False,Interior plain
76128533B69438085511257,Anand,2018-07-27,contained_grid,1.8475001,2.3400002,0.48499998,1.17875,0.00050471595,0.00055314531,3.2431439e-05,4,Low Modelled Signal,False,1.8475001,0.0,0.0,0.0,0.0,-1.8475001,-1.8475001,4,0.8274506,0.7393798,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Higher observation agreement,4,22.064167,52.0,13.685833,15.026667,0.032142416,0.035944052,0.55049765,17.444511,0.5,1.0,1.0,1.0,1.0,0.0,0.0,1,True,False,Coastal plain
76128533B52664671961643,Anantapur,2018-07-27,contained_grid,0.073846154,0.2,0.30399039,1.24,0.00015395088,0.00020531905,3.8054564e-05,26,Low Modelled Signal,False,0.073846154,0.0,0.0,0.0,0.0,-0.073846154,-0.073846154,26,0.8241378,0.72510797,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Higher observation agreement,26,497.88934,930.0,195.57217,346.80667,0.18155497,0.36919278,192.81491,253.11066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,False,False,Interior plain
76128533B6393836306469,Anantnag,2018-07-27,contained_grid,5.9466667,9.0500002,1.4274999,1.6824999,0.0010012657,0.0012127593,4.6386598e-05,3,Low Modelled Signal,False,5.9466667,1.2703952,3.6555924,1.260048,3.6400719,-4.6866188,-4.6762714,3,0.6908428,0.6747544,0.0,0.0,0.0,1.0,1.260048,3.6400719,0.0,Higher observation agreement,3,2391.8801,4422.0,1401.4532,1469.1978,1.8552917,2.989082,1215.3969,1235.0691,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2,False,True,Interior orographic
76128533B55878637000592,Anjaw,2018-07-27,contained_grid,9.3520002,15.400002,4.5031252,15.544998,0.0053803846,0.013200937,0.00090055686,10,Low Modelled Signal,False,9.3520002,4.0040336,10.005594,3.9900651,9.9900732,-5.3619351,-5.3479667,10,0.6108033,0.5394259,0.0013163533,0.013163533,0.1,1.0,3.9971862,9.990073,0.007121372,Higher observation agreement,10,2910.9995,4934.0,1516.4004,2079.9343,1.6335173,2.347068,743.81085,776.0394,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2,False,True,Interior orographic
76128533B60186573304899,Anugul,2018-07-27,contained_grid,6.5954542,13.619999,1.630909,2.4249997,0.006389387,0.015150569,0.0021996431,11,Low Modelled Signal,False,6.5954542,2.1175957,8.2255917,2.1091299,8.2100706,-4.4863243,-4.4778585,11,0.705168,0.64078677,0.0,0.0,0.0,1.0,2.10913,8.210071,0.0,Higher observation agreement,11,202.82982,1020.0,404.89746,858.2767,0.21051607,0.69530857,94.98623,132.82912,0.0,0.0,0.0,0.0909090909090909,0.7272727272727273,0.2727272727272727,0.0,0,False,True,Interior plain
76128533B25468964623139,Anuppur,2018-07-27,contained_grid,23.183334,29.469997,1.3858333,2.9824998,0.018416923,0.022560596,0.0013032589,6,Low Modelled Signal,False,23.183334,17.788925,24.07559,17.773405,24.06007,-5.4099293,-5.3944092,6,0.69704556,0.6377811,0.0,0.0,0.0,1.0,17.773405,24.06007,0.0,Higher observation agreement,6,723.76495,1120.0,274.90167,473.80225,0.24681015,0.4195817,483.6884,508.92197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,False,False,Interior plain
76128533B4745348385341,Araria,2018-07-27,contained_grid,93.375,105.39999,2.0828123,6.0074992,0.03459724,0.040768925,0.0011058362,4,Low Modelled Signal,False,93.375,87.980591,100.00558,87.965073,99.990067,-5.4099274,-5.3944092,4,0.71583486,0.56977296,0.0,0.0,0.0,1.0,87.96507,99.99007,0.0,Higher observation agreement,4,52.75528,69.0,8.744722,9.196667,0.027364992,0.03753791,389.5904,404.38348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,False,False,Interior plain
76128533B62153454383166,Aravali,2018-07-27,contained_grid,3.25,3.9800003,0.014,0.07,0.003277699,0.0047959737,0.00022390093,5,Low Modelled Signal,False,3.25,0.0,0.0,0.0,0.0,-3.25,-3.25,5,0.91457236,0.8562895,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Higher observation agreement,5,156.05022,477.0,108.74978,243.34555,0.14681752,0.2601889,106.07933,132.90312,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0,False,False,Interior plain
76128533B16889790752134,Ariyalur,2018-07-27,contained_grid,0.8300001,1.3600001,0.027500002,0.082500003,0.00010171688,0.00011840597,1.9630734e-05,3,Low Modelled Signal,False,0.8300001,0.0,0.0,0.0,0.0,-0.8300001,-0.8300001,3,0.90758514,0.88634086,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Higher observation agreement,3,60.434444,126.0,46.232224,59.08889,0.06999573,0.078545,46.931957,61.69102,0.0,0.3333333333333333,0.6666666666666666,1.0,1.0,0.0,0.0,1,True,False,Coastal plain
