shapeID,shapeName,mapping_method,geographic_grid_cells,elevation_mean_m,elevation_max_m,terrain_relief_mean_m,terrain_relief_max_m,slope_mean_degrees,slope_max_degrees,distance_to_coast_min_km,distance_to_coast_mean_km,coastal_fraction_25km,coastal_fraction_50km,coastal_fraction_75km,coastal_fraction_100km,coastal_fraction_150km,orographic_cell_fraction,coastal_orographic_fraction,dominant_geographic_regime_code,coastal_district_75km,orographic_district,dominant_geographic_regime
76128533B60261306484775,Valsad,contained_grid,4,118.08861,573.0,207.16139,406.46887,0.29189128,0.45581633,0.67479426,24.20771,0.5,1.0,1.0,1.0,1.0,0.0,0.0,1,True,False,Coastal plain
76128533B60320291189162,Faizabad,contained_grid,4,102.10722,114.0,6.3927784,6.9033356,0.011254066,0.013353857,719.3793,747.31134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,False,False,Interior plain
76128533B60322704115131,Jayashankar,contained_grid,4,173.40334,430.0,188.84666,254.47333,0.06647783,0.09596379,262.9587,278.53665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,False,False,Interior plain
76128533B60360721573267,Indore,contained_grid,6,527.888,767.0,104.11203,186.41446,0.17657049,0.45406553,263.62604,289.8778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,False,False,Interior plain
76128533B6050540865870,Palamu,contained_grid,7,262.41205,576.0,192.0165,389.09332,0.15897445,0.2751061,378.3295,417.41843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,False,False,Interior plain
76128533B60721316645780,Patna,contained_grid,4,50.331665,65.0,7.418333,8.796665,0.010269186,0.017117053,399.3154,421.46762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,False,False,Interior plain
76128533B60845263086042,Paschim Barddhaman,contained_grid,1,125.94778,186.0,60.052223,60.052223,0.07550517,0.07550517,171.08965,171.08965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,False,False,Interior plain
76128533B60862799554879,Aligarh,contained_grid,6,184.62852,197.0,6.538147,8.901108,0.016785437,0.0198208,783.6637,805.7007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,False,False,Interior plain
76128533B60893804631193,Pashchimi Singhbhum,contained_grid,8,396.27972,839.0,289.34528,390.5611,0.18306015,0.33161134,155.78166,193.6488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,False,False,Interior plain
76128533B61117593923933,Kollam,contained_grid,2,111.97945,846.0,377.52057,667.56,0.2822042,0.3815537,9.057788,22.944574,0.5,1.0,1.0,1.0,1.0,0.5,0.5,1,True,True,Coastal plain
76128533B61134942989820,Tehri Garhwal,contained_grid,7,1937.1445,6724.0,1344.7126,2535.7969,1.5374233,3.300018,1030.523,1054.2216,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2,False,True,Interior orographic
76128533B61235952222315,West Kameng,contained_grid,7,1862.7781,4820.0,1678.0791,2368.58,2.4444485,3.0957422,404.68893,437.20953,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2,False,True,Interior orographic
76128533B6128685860104,Sundargarh,contained_grid,13,290.26736,863.0,269.5788,632.0211,0.18517306,0.3818901,197.77301,253.41763,0.0,0.0,0.0,0.0,0.0,0.07692307692307693,0.0,0,False,False,Interior plain
76128533B61304308285665,Nandurbar,contained_grid,7,356.9689,1116.0,417.60254,677.17334,0.31132635,0.5104164,88.43311,126.05961,0.0,0.0,0.0,0.14285714285714285,0.8571428571428571,0.42857142857142855,0.0,0,False,True,Interior plain
76128533B61321395333865,Cuddalore,contained_grid,7,38.666664,136.0,46.904762,73.87444,0.071452655,0.13900952,1.9996064,30.444426,0.42857142857142855,0.7142857142857143,0.8571428571428571,1.0,1.0,0.0,0.0,1,True,False,Coastal plain
76128533B61760400952464,Meerut,contained_grid,4,220.25778,233.0,9.242222,14.655548,0.019903284,0.02318541,855.03033,872.1237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,False,False,Interior plain
76128533B61814103412294,Yavatmal,contained_grid,20,327.48328,567.0,116.916725,184.69446,0.09533232,0.17670862,464.26712,500.09857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,False,False,Interior plain
76128533B61831576863813,Tengnoupal,contained_grid,2,688.9133,1533.0,748.0867,861.8944,0.97557056,1.0966607,308.73788,317.79694,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2,False,True,Interior orographic
76128533B62153454383166,Aravali,contained_grid,5,156.05022,477.0,108.74978,243.34555,0.14681752,0.2601889,106.07933,132.90312,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0,False,False,Interior plain
76128533B62486414019241,Saitual,contained_grid,3,889.30743,2022.0,931.3592,1029.47,0.6227073,0.70536655,193.32275,201.69574,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2,False,True,Interior orographic
76128533B62490300334729,Solapur,contained_grid,23,511.7653,827.0,83.452126,220.1767,0.11460942,0.23379643,168.42004,237.74208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,False,False,Interior plain
76128533B62624361588317,Karaikal,nearest_grid,1,6.01,17.0,10.99,10.99,0.019523636,0.019523636,10.833827,10.833827,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1,True,False,Coastal plain
76128533B62794162648247,Supaul,contained_grid,4,61.989998,97.0,10.51,19.223335,0.049968023,0.12607512,414.95883,432.486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,False,False,Interior plain
76128533B6310527412636,Janjgir-Champa,contained_grid,7,239.68666,669.0,151.17049,415.41223,0.057327412,0.09324273,298.2564,338.15317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,False,False,Interior plain
76128533B63117839967753,South Goa,contained_grid,3,211.48741,856.0,444.1793,547.38,0.4586133,0.59957737,8.177946,17.487726,0.6666666666666666,1.0,1.0,1.0,1.0,0.6666666666666666,0.6666666666666666,3,True,True,Coastal orographic
76128533B63176236753619,Mayiladuthurai,contained_grid,1,4.9711113,12.0,7.0288887,7.0288887,0.024976732,0.024976732,8.233007,8.233007,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1,True,False,Coastal plain
76128533B6330405394721,Karnal,contained_grid,4,242.97694,259.0,8.273056,9.463333,0.021780755,0.02467298,876.5756,894.3627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,False,False,Interior plain
76128533B63366045987285,Kasaragod,contained_grid,3,100.33777,904.0,426.99557,723.0945,0.4041313,0.60489225,1.8515873,13.440338,0.6666666666666666,1.0,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,1,True,True,Coastal plain
76128533B633842538351,Ganjam,contained_grid,11,154.9897,1053.0,545.1012,774.30115,0.3627353,0.7171348,10.936071,43.360756,0.2727272727272727,0.6363636363636364,0.8181818181818182,1.0,1.0,0.5454545454545454,0.36363636363636365,1,True,True,Coastal plain
76128533B63599385776584,Bharuch,contained_grid,7,26.96016,284.0,51.754124,226.00888,0.0740468,0.1980331,1.7003803,11.685289,0.7142857142857143,1.0,1.0,1.0,1.0,0.0,0.0,1,True,False,Coastal plain
76128533B63783580004876,Nanded,contained_grid,15,404.9324,644.0,116.667625,241.87332,0.100609794,0.21558537,423.43433,452.26517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,False,False,Interior plain
76128533B63815467309300,Amravati,contained_grid,16,401.63104,1127.0,227.18146,560.6389,0.22452252,0.54225445,373.3625,459.54025,0.0,0.0,0.0,0.0,0.0,0.0625,0.0,0,False,False,Interior plain
76128533B63833971372360,Warangal (R),contained_grid,2,244.36221,347.0,70.63778,94.94333,0.05403768,0.074092776,221.45421,231.63861,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,False,False,Interior plain
76128533B6393836306469,Anantnag,contained_grid,3,2391.8801,4422.0,1401.4532,1469.1978,1.8552917,2.989082,1215.3969,1235.0691,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2,False,True,Interior orographic
76128533B6397758882978,Navsari,contained_grid,4,32.54667,336.0,75.70334,244.06445,0.1150359,0.281346,3.3289692,12.898224,0.75,1.0,1.0,1.0,1.0,0.0,0.0,1,True,False,Coastal plain
76128533B64003397477352,Pudukkottai,contained_grid,7,101.27842,493.0,116.0073,333.97888,0.13962212,0.24438529,19.794916,54.060726,0.14285714285714285,0.42857142857142855,0.7142857142857143,1.0,1.0,0.0,0.0,1,True,False,Coastal plain
76128533B64156747739715,Koch Bihar,contained_grid,4,53.88028,87.0,11.869722,16.477776,0.04264745,0.08066468,307.14322,325.0833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,False,False,Interior plain
76128533B64161607349718,Mahendragarh,contained_grid,2,304.53223,480.0,91.46777,141.34222,0.1343727,0.16714907,696.64636,714.4088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,False,False,Interior plain
