date,geographic_regime_code,geographic_regime,valid_pairs,mean_rainfall_mm,bias_mm,mae_mm,rmse_mm,correlation,agreement_score
2018-07-07,1,Coastal plain,479.0,16.894289016723633,4.099353313446045,12.638317108154297,22.531496047973633,0.73257544219034,0.6691400408744812
2018-07-07,2,Interior orographic,943.0,4.937464237213135,3.436570882797241,5.417862415313721,10.687347412109375,0.42967289273589787,0.7367438077926636
2018-07-07,3,Coastal orographic,102.0,42.4570426940918,-5.123954772949219,21.836057662963867,36.60603713989258,0.7641898765004517,0.6690153479576111
2018-07-08,0,Interior plain,3108.0,7.0750813484191895,3.21767520904541,7.853399276733398,15.073583602905273,0.3036353092628839,0.7179831862449646
2018-07-08,1,Coastal plain,479.0,14.152430534362793,-5.47422981262207,12.223838806152344,25.745502471923828,0.6780544642442548,0.6839302182197571
2018-07-08,2,Interior orographic,943.0,6.347903728485107,-0.26058492064476013,6.807637691497803,13.375555992126465,0.35896701390342534,0.7218193411827087
2018-07-08,3,Coastal orographic,102.0,33.078792572021484,-11.420381546020508,21.6075439453125,35.337371826171875,0.6735553626329144,0.6236323714256287
2018-07-09,0,Interior plain,3108.0,7.621913909912109,2.956836462020874,8.862812995910645,17.015058517456055,0.24967480557325264,0.6966561079025269
2018-07-09,1,Coastal plain,479.0,12.924739837646484,4.4358086585998535,11.509973526000977,22.347070693969727,0.6591268310331536,0.6486091613769531
2018-07-09,2,Interior orographic,943.0,6.590721130371094,-0.11471081525087357,7.4039506912231445,14.634065628051758,0.3350718879799097,0.7022727727890015
2018-07-09,3,Coastal orographic,102.0,35.32377243041992,6.454882621765137,22.51789093017578,32.67275619506836,0.5140238623467344,0.6180510520935059
2018-07-10,0,Interior plain,3108.0,7.4271321296691895,1.8691281080245972,9.217279434204102,16.87980842590332,0.1914043217667215,0.6598281860351562
2018-07-10,1,Coastal plain,479.0,17.14598274230957,6.839684963226318,16.095203399658203,26.627025604248047,0.5197468493314965,0.5890787243843079
2018-07-10,2,Interior orographic,943.0,7.955223560333252,-1.461417555809021,9.888162612915039,18.79607391357422,0.2181749183430015,0.6610234379768372
2018-07-10,3,Coastal orographic,102.0,36.004051208496094,-4.201685428619385,21.97720718383789,29.430191040039062,0.6656931749968817,0.6151079535484314
2018-07-11,0,Interior plain,3108.0,9.489663124084473,6.306263446807861,11.828570365905762,19.731176376342773,0.21163465508249302,0.6025786399841309
