shapeID,shapeName,date,mapping_method,gefs_mean_mm,gefs_max_mm,observed_mean_mm,observed_max_mm,heavy_probability_mean,heavy_probability_max,very_heavy_probability_max,grid_cells,risk_level,very_heavy_experimental,correction_raw_mean_mm,global_corrected_mean_mm,global_corrected_max_mm,regime_corrected_mean_mm,regime_corrected_max_mm,regime_adjustment_mm,global_adjustment_mm
76128533B39329594544563,Aurangabad,2018-07-27,contained_grid,0.85600001,1.1,0.23441666,1.4099998,0.00019014388,0.00021398347,3.4187997e-05,15,Low Modelled Signal,False,0.85600001,0.0,0.0,0.0,0.0,-0.85600001,-0.85600001
76128533B73925919155567,Azamgarh,2018-07-27,contained_grid,2.922857,7.87,6.4401779,16.894999,0.0026066008,0.0057834759,0.00029085434,7,Low Modelled Signal,False,2.922857,0.35588354,2.4755921,0.35144907,2.4600716,-2.571408,-2.5669734
76128533B88214376170788,Badgam,2018-07-27,nearest_grid,6.6400003,6.6400003,1.4749999,1.4749999,0.00089671568,0.00089671568,2.5496684e-05,1,Low Modelled Signal,False,6.6400003,1.2455926,1.2455926,1.230072,1.230072,-5.4099283,-5.3944077
76128533B83278580643229,Bagalkot,2018-07-27,contained_grid,0.84222221,1.1800001,0.53194445,2.6300001,0.00018985417,0.00021528745,5.1826337e-05,9,Low Modelled Signal,False,0.84222221,0.0,0.0,0.0,0.0,-0.84222221,-0.84222221
76128533B64217423710469,Bageshwar,2018-07-27,contained_grid,23.84,30.170002,13.656,25.855,0.014681039,0.021957869,0.00025525401,5,Low Modelled Signal,False,23.84,18.445593,24.775595,18.430073,24.760075,-5.4099274,-5.3944073
76128533B46268976217915,Baghpat,2018-07-27,contained_grid,19.344999,23.699999,51.647499,54.884991,0.019990932,0.031498432,0.00050538842,2,Low Modelled Signal,False,19.344999,13.950592,18.305592,13.93507,18.29007,-5.4099293,-5.3944073
76128533B66612397499770,Bahraich,2018-07-27,contained_grid,2.5185716,5.5500002,10.741785,16.715,0.0023414178,0.0048672967,0.00088861166,7,Low Modelled Signal,False,2.5185716,0.022227492,0.15559244,0.020010266,0.14007187,-2.4985614,-2.4963441
76128533B8221925175605,Baksa,2018-07-27,contained_grid,22.4175,28.359999,5.8606253,8.7550011,0.019457806,0.030927699,0.0047575873,4,Low Modelled Signal,False,22.4175,17.023092,22.965591,17.007572,22.950069,-5.4099274,-5.3944073
76128533B66134271591289,Balaghat,2018-07-27,contained_grid,5.3923078,9.5899992,0.31980771,1.2,0.0030260233,0.0065261694,0.00047713507,13,Low Modelled Signal,False,5.3923078,1.0030111,4.1955914,0.99465394,4.1800709,-4.3976536,-4.3892965
76128533B44395557448920,Balangir,2018-07-27,contained_grid,14.933332,22.359999,1.125,6.105,0.010501244,0.012575387,0.0032581543,9,Low Modelled Signal,False,14.933332,9.5389252,16.965591,9.5234041,16.950069,-5.4099283,-5.3944073
76128533B81147724102706,Baleshwar,2018-07-27,contained_grid,14.932001,21.92,9.2314997,18.989998,0.04120167,0.05503368,0.0073747439,5,Low Modelled Signal,False,14.932001,9.5375929,16.525593,9.5220718,16.510071,-5.4099293,-5.3944082
76128533B73769926250842,Ballia,2018-07-27,contained_grid,12.595,18.6,8.6387501,15.125,0.011330871,0.013350734,0.00035376803,4,Low Modelled Signal,False,12.595,7.2005925,13.205593,7.1850719,13.190072,-5.4099283,-5.3944077
76128533B90169585758701,Balod,2018-07-27,contained_grid,2.0033333,2.45,0.42979169,1.45,0.00024286924,0.00025673173,5.2060972e-05,6,Low Modelled Signal,False,2.0033333,0.0,0.0,0.0,0.0,-2.0033333,-2.0033333
76128533B54306414631532,Baloda Bazar,2018-07-27,contained_grid,2.9679999,6.3900003,2.2920001,3.9,0.0046514319,0.011310185,0.00051168486,5,Low Modelled Signal,False,2.9679999,0.19911852,0.99559259,0.1960144,0.98007202,-2.7719855,-2.7688813
76128533B14598081584747,Balrampur,2018-07-27,contained_grid,15.808462,19.26,12.834615,31.553747,0.012996804,0.017517775,0.00064073794,13,Low Modelled Signal,False,15.808462,10.414054,13.865593,10.398534,13.850072,-5.4099283,-5.3944082
76128533B87371000929659,Balrampur,2018-07-27,contained_grid,12.533333,15.570001,33.392498,45.967499,0.02609317,0.036670893,0.0016771756,3,Low Modelled Signal,False,12.533333,7.1389256,10.175592,7.1234055,10.160072,-5.4099274,-5.3944073
76128533B52902360321344,Banas Kantha,2018-07-27,contained_grid,1.6726667,4.1499996,0.0029166667,0.0275,0.00099932496,0.0020867658,0.00014560192,15,Low Modelled Signal,False,1.6726667,0.0,0.0,0.0,0.0,-1.6726667,-1.6726667
76128533B45099378029175,Banda,2018-07-27,contained_grid,3.5757143,4.8300004,3.7328572,8.9825001,0.0019936054,0.0033153147,0.00031700995,7,Low Modelled Signal,False,3.5757143,0.0,0.0,0.0,0.0,-3.5757143,-3.5757143
76128533B41744580856133,Bandipore,2018-07-27,contained_grid,3.0474999,3.25,1.3446876,2.51125,0.00022549715,0.00040148446,3.5471952e-05,4,Low Modelled Signal,False,3.0474999,0.0,0.0,0.0,0.0,-3.0474999,-3.0474999
76128533B76927648517269,Bangalore,2018-07-27,contained_grid,0.28666666,0.4,0.20166667,0.26,8.4303661e-05,9.473785e-05,2.4369732e-05,3,Low Modelled Signal,False,0.28666666,0.0,0.0,0.0,0.0,-0.28666666,-0.28666666
76128533B48075109668277,Bangalore Rural,2018-07-27,contained_grid,0.2475,0.33,2.6068747,4.6149998,9.9099547e-05,0.00011218464,2.4916069e-05,4,Low Modelled Signal,False,0.2475,0.0,0.0,0.0,0.0,-0.2475,-0.2475
76128533B54517225652088,Banka,2018-07-27,contained_grid,5.8050003,8.3800011,36.596561,38.791252,0.0080872551,0.013397602,0.00040557561,4,Low Modelled Signal,False,5.8050003,1.1752964,2.9855933,1.1675361,2.9700727,-4.637464,-4.629704
